HospitalID,HospitalName,State,City,Type,Beds,ICU_Beds,Ventilators,DoctorID,DoctorName,Specialization,ExperienceYears
H001,Hospital_1,Gujarat,Ahmedabad,Government,976,154,115,D0111,Dr_Name_111,Pediatrician,15
H001,Hospital_1,Gujarat,Ahmedabad,Government,976,154,115,D0120,Dr_Name_120,Orthopedic Surgeon,4
H001,Hospital_1,Gujarat,Ahmedabad,Government,976,154,115,D0181,Dr_Name_181,General Physician,20
H001,Hospital_1,Gujarat,Ahmedabad,Government,976,154,115,D0197,Dr_Name_197,Neurologist,11
H001,Hospital_1,Gujarat,Ahmedabad,Government,976,154,115,D0759,Dr_Name_759,Neurologist,23
H001,Hospital_1,Gujarat,Ahmedabad,Government,976,154,115,D1026,Dr_Name_1026,Orthopedic Surgeon,13
H001,Hospital_1,Gujarat,Ahmedabad,Government,976,154,115,D1031,Dr_Name_1031,Oncologist,22
H001,Hospital_1,Gujarat,Ahmedabad,Government,976,154,115,D1058,Dr_Name_1058,Pediatrician,6
H001,Hospital_1,Gujarat,Ahmedabad,Government,976,154,115,D1119,Dr_Name_1119,Cardiologist,18
H002,Hospital_2,Maharashtra,Noida,Government,1091,80,84,D0266,Dr_Name_266,Gastroenterologist,7
H002,Hospital_2,Maharashtra,Noida,Government,1091,80,84,D0666,Dr_Name_666,General Physician,28
H002,Hospital_2,Maharashtra,Noida,Government,1091,80,84,D0847,Dr_Name_847,Orthopedic Surgeon,22
H002,Hospital_2,Maharashtra,Noida,Government,1091,80,84,D0986,Dr_Name_986,Oncologist,15
H002,Hospital_2,Maharashtra,Noida,Government,1091,80,84,D1240,Dr_Name_1240,Pediatrician,28
H002,Hospital_2,Maharashtra,Noida,Government,1091,80,84,D1326,Dr_Name_1326,Oncologist,20
H002,Hospital_2,Maharashtra,Noida,Government,1091,80,84,D1381,Dr_Name_1381,Orthopedic Surgeon,9
H002,Hospital_2,Maharashtra,Noida,Government,1091,80,84,D1438,Dr_Name_1438,General Physician,22
H002,Hospital_2,Maharashtra,Noida,Government,1091,80,84,D1707,Dr_Name_1707,Pediatrician,27
H002,Hospital_2,Maharashtra,Noida,Government,1091,80,84,D1761,Dr_Name_1761,Oncologist,23
H003,Hospital_3,Kerala,Ahmedabad,Private,983,54,99,D0504,Dr_Name_504,Oncologist,15
H003,Hospital_3,Kerala,Ahmedabad,Private,983,54,99,D0554,Dr_Name_554,Neurologist,8
H003,Hospital_3,Kerala,Ahmedabad,Private,983,54,99,D0573,Dr_Name_573,Cardiologist,9
H003,Hospital_3,Kerala,Ahmedabad,Private,983,54,99,D0896,Dr_Name_896,Cardiologist,14
H003,Hospital_3,Kerala,Ahmedabad,Private,983,54,99,D1183,Dr_Name_1183,Pediatrician,8
H003,Hospital_3,Kerala,Ahmedabad,Private,983,54,99,D1376,Dr_Name_1376,Gastroenterologist,27
H003,Hospital_3,Kerala,Ahmedabad,Private,983,54,99,D1408,Dr_Name_1408,Pediatrician,15
H003,Hospital_3,Kerala,Ahmedabad,Private,983,54,99,D1776,Dr_Name_1776,Pediatrician,19
H003,Hospital_3,Kerala,Ahmedabad,Private,983,54,99,D1797,Dr_Name_1797,Pulmonologist,15
H003,Hospital_3,Kerala,Ahmedabad,Private,983,54,99,D1856,Dr_Name_1856,General Physician,1
H003,Hospital_3,Kerala,Ahmedabad,Private,983,54,99,D1919,Dr_Name_1919,Pulmonologist,2
H004,Hospital_4,Gujarat,Hyderabad,Private,1473,141,122,D0301,Dr_Name_301,Gastroenterologist,5
H004,Hospital_4,Gujarat,Hyderabad,Private,1473,141,122,D0467,Dr_Name_467,Pulmonologist,9
H004,Hospital_4,Gujarat,Hyderabad,Private,1473,141,122,D0541,Dr_Name_541,Gastroenterologist,11
H004,Hospital_4,Gujarat,Hyderabad,Private,1473,141,122,D0728,Dr_Name_728,Gastroenterologist,23
H004,Hospital_4,Gujarat,Hyderabad,Private,1473,141,122,D0947,Dr_Name_947,Neurologist,22
H004,Hospital_4,Gujarat,Hyderabad,Private,1473,141,122,D1551,Dr_Name_1551,Orthopedic Surgeon,19
H004,Hospital_4,Gujarat,Hyderabad,Private,1473,141,122,D1552,Dr_Name_1552,Orthopedic Surgeon,7
H004,Hospital_4,Gujarat,Hyderabad,Private,1473,141,122,D1846,Dr_Name_1846,Cardiologist,11
H004,Hospital_4,Gujarat,Hyderabad,Private,1473,141,122,D1854,Dr_Name_1854,Cardiologist,12
H004,Hospital_4,Gujarat,Hyderabad,Private,1473,141,122,D1902,Dr_Name_1902,Orthopedic Surgeon,24
H004,Hospital_4,Gujarat,Hyderabad,Private,1473,141,122,D1945,Dr_Name_1945,Neurologist,25
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D0042,Dr_Name_42,Orthopedic Surgeon,9
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D0057,Dr_Name_57,Pulmonologist,25
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D0277,Dr_Name_277,Pulmonologist,14
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D0557,Dr_Name_557,Cardiologist,26
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D0558,Dr_Name_558,Pulmonologist,5
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D0598,Dr_Name_598,General Physician,8
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D1006,Dr_Name_1006,Gastroenterologist,28
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D1098,Dr_Name_1098,Pediatrician,27
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D1364,Dr_Name_1364,Neurologist,17
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D1416,Dr_Name_1416,Pulmonologist,22
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D1529,Dr_Name_1529,Orthopedic Surgeon,28
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D1673,Dr_Name_1673,Cardiologist,17
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D1674,Dr_Name_1674,Cardiologist,2
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D1796,Dr_Name_1796,Orthopedic Surgeon,15
H005,Hospital_5,Karnataka,Mumbai,Government,146,45,148,D1941,Dr_Name_1941,Gastroenterologist,24
H006,Hospital_6,Uttar Pradesh,Kochi,Government,966,79,12,D0556,Dr_Name_556,General Physician,26
H006,Hospital_6,Uttar Pradesh,Kochi,Government,966,79,12,D0629,Dr_Name_629,General Physician,13
H006,Hospital_6,Uttar Pradesh,Kochi,Government,966,79,12,D0754,Dr_Name_754,Oncologist,23
H006,Hospital_6,Uttar Pradesh,Kochi,Government,966,79,12,D0873,Dr_Name_873,Oncologist,19
H006,Hospital_6,Uttar Pradesh,Kochi,Government,966,79,12,D0965,Dr_Name_965,Orthopedic Surgeon,1
H006,Hospital_6,Uttar Pradesh,Kochi,Government,966,79,12,D1448,Dr_Name_1448,Pulmonologist,3
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D0252,Dr_Name_252,General Physician,28
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D0254,Dr_Name_254,Oncologist,5
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D0438,Dr_Name_438,Oncologist,7
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D0650,Dr_Name_650,Orthopedic Surgeon,26
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D0715,Dr_Name_715,Pediatrician,22
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D0888,Dr_Name_888,Pulmonologist,21
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D1247,Dr_Name_1247,Oncologist,1
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D1265,Dr_Name_1265,Cardiologist,24
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D1329,Dr_Name_1329,Pulmonologist,15
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D1468,Dr_Name_1468,General Physician,17
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D1547,Dr_Name_1547,Oncologist,8
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D1569,Dr_Name_1569,Gastroenterologist,13
H007,Hospital_7,Kerala,Noida,Government,922,168,136,D1995,Dr_Name_1995,Oncologist,21
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D0209,Dr_Name_209,Oncologist,24
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D0225,Dr_Name_225,Neurologist,29
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D0236,Dr_Name_236,Oncologist,9
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D0411,Dr_Name_411,General Physician,3
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D0780,Dr_Name_780,General Physician,27
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D0879,Dr_Name_879,Oncologist,23
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D0979,Dr_Name_979,Gastroenterologist,18
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D1029,Dr_Name_1029,General Physician,26
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D1091,Dr_Name_1091,Orthopedic Surgeon,15
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D1094,Dr_Name_1094,Orthopedic Surgeon,24
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D1369,Dr_Name_1369,Orthopedic Surgeon,5
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D1387,Dr_Name_1387,General Physician,28
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D1633,Dr_Name_1633,Cardiologist,10
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D1649,Dr_Name_1649,Pulmonologist,10
H008,Hospital_8,Kerala,Mumbai,Government,1035,28,108,D1677,Dr_Name_1677,Cardiologist,10
H009,Hospital_9,Gujarat,Chennai,Government,755,198,136,D0295,Dr_Name_295,Oncologist,13
H009,Hospital_9,Gujarat,Chennai,Government,755,198,136,D0562,Dr_Name_562,Cardiologist,26
H009,Hospital_9,Gujarat,Chennai,Government,755,198,136,D0595,Dr_Name_595,Gastroenterologist,22
H009,Hospital_9,Gujarat,Chennai,Government,755,198,136,D0803,Dr_Name_803,Pediatrician,15
H009,Hospital_9,Gujarat,Chennai,Government,755,198,136,D0872,Dr_Name_872,Neurologist,3
H009,Hospital_9,Gujarat,Chennai,Government,755,198,136,D1182,Dr_Name_1182,Cardiologist,21
H009,Hospital_9,Gujarat,Chennai,Government,755,198,136,D1281,Dr_Name_1281,Pediatrician,8
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D0041,Dr_Name_41,Pediatrician,28
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D0215,Dr_Name_215,General Physician,23
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D0427,Dr_Name_427,Pulmonologist,15
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D0496,Dr_Name_496,General Physician,18
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D1016,Dr_Name_1016,Orthopedic Surgeon,27
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D1022,Dr_Name_1022,Cardiologist,17
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D1283,Dr_Name_1283,Pediatrician,19
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D1480,Dr_Name_1480,Cardiologist,18
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D1531,Dr_Name_1531,General Physician,4
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D1627,Dr_Name_1627,Pediatrician,18
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D1702,Dr_Name_1702,Orthopedic Surgeon,4
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D1718,Dr_Name_1718,Cardiologist,12
H010,Hospital_10,Delhi,Kochi,Government,368,117,29,D1804,Dr_Name_1804,Neurologist,5
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D0074,Dr_Name_74,Gastroenterologist,20
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D0109,Dr_Name_109,General Physician,10
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D0271,Dr_Name_271,Neurologist,4
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D0355,Dr_Name_355,Oncologist,15
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D0357,Dr_Name_357,Pediatrician,23
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D0535,Dr_Name_535,Oncologist,28
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D0584,Dr_Name_584,Oncologist,4
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D0823,Dr_Name_823,Cardiologist,12
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D0829,Dr_Name_829,Pediatrician,28
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D1175,Dr_Name_1175,Pediatrician,7
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D1320,Dr_Name_1320,General Physician,17
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D1535,Dr_Name_1535,General Physician,13
H011,Hospital_11,Karnataka,Ahmedabad,Private,469,191,100,D1717,Dr_Name_1717,Gastroenterologist,28
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D0333,Dr_Name_333,Cardiologist,29
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D0395,Dr_Name_395,Neurologist,23
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D0407,Dr_Name_407,Cardiologist,15
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D0419,Dr_Name_419,Pediatrician,2
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D0668,Dr_Name_668,General Physician,14
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D0699,Dr_Name_699,Gastroenterologist,10
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D0770,Dr_Name_770,Oncologist,17
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D0902,Dr_Name_902,Gastroenterologist,26
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D0904,Dr_Name_904,Oncologist,27
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D0971,Dr_Name_971,Gastroenterologist,21
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D1066,Dr_Name_1066,Oncologist,27
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D1194,Dr_Name_1194,Neurologist,8
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D1403,Dr_Name_1403,Orthopedic Surgeon,9
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D1456,Dr_Name_1456,Oncologist,29
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D1509,Dr_Name_1509,Pediatrician,29
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D1742,Dr_Name_1742,Pulmonologist,7
H012,Hospital_12,Gujarat,Ahmedabad,Government,735,176,97,D1819,Dr_Name_1819,Pediatrician,7
H013,Hospital_13,Karnataka,Kochi,Government,1229,100,65,D0481,Dr_Name_481,Orthopedic Surgeon,7
H013,Hospital_13,Karnataka,Kochi,Government,1229,100,65,D0575,Dr_Name_575,Cardiologist,6
H013,Hospital_13,Karnataka,Kochi,Government,1229,100,65,D0639,Dr_Name_639,Gastroenterologist,10
H013,Hospital_13,Karnataka,Kochi,Government,1229,100,65,D0671,Dr_Name_671,Oncologist,6
H013,Hospital_13,Karnataka,Kochi,Government,1229,100,65,D1138,Dr_Name_1138,General Physician,9
